14-05-2019:11:19:37,693 INFO [log.py:33] hahaha
14-05-2019:11:30:53,217 INFO [log.py:33] hahaha
14-05-2019:11:30:53,217 INFO [testcase_1.py:30] 建立连接
14-05-2019:11:30:53,218 INFO [testcase_1.py:34] 断开连接
14-05-2019:11:33:02,491 INFO [log.py:33] hahaha
14-05-2019:11:33:02,491 INFO [testcase_1.py:30] 建立连接
14-05-2019:11:33:02,491 INFO [testcase_1.py:34] 断开连接
14-05-2019:11:33:12,100 INFO [testcase_1.py:37] 执行测试用例1
14-05-2019:11:33:12,111 INFO [testcase_1.py:44] 执行测试用例2
14-05-2019:11:33:12,223 INFO [testcase_1.py:49] 执行测试用例3
14-05-2019:11:33:12,297 INFO [testcase_1.py:54] 执行测试用例4
